dataset,video_key,method,fscore,selected_ratio,adaptive_semantic_weight
TVSum,video_49,CLIP-only,0.46780937376346204,0.1492212359738737,0.5096117189742796
TVSum,video_49,Fixed-Fusion,0.5431646634946086,0.14838385530061965,0.5096117189742796
TVSum,video_49,Ours-Adaptive,0.630799078986296,0.14821637916596886,0.5096117189742796
TVSum,video_50,Visual-BiLSTM-Strict,0.5694612484367886,0.14814814814814814,0.5442411624180149
TVSum,video_50,CLIP-only,0.5875752197943334,0.1472800925925926,0.5442411624180149
TVSum,video_50,Fixed-Fusion,0.568996211914677,0.1495949074074074,0.5442411624180149
TVSum,video_50,Ours-Adaptive,0.568996211914677,0.1495949074074074,0.5442411624180149
SumMe,video_1,Visual-BiLSTM-Strict,0.6495468277945619,0.14953271028037382,0.6182281382591406
SumMe,video_1,CLIP-only,0.4963971176941553,0.1326212728081887,0.6182281382591406
SumMe,video_1,Fixed-Fusion,0.48742138364779874,0.13773920783266577,0.6182281382591406
SumMe,video_1,Ours-Adaptive,0.48742138364779874,0.13773920783266577,0.6182281382591406
SumMe,video_2,Visual-BiLSTM-Strict,0.28571428571428575,0.14992598858109538,0.6458787699474446
SumMe,video_2,CLIP-only,0.2658137882018479,0.14844576020300274,0.6458787699474446
SumMe,video_2,Fixed-Fusion,0.2658137882018479,0.14844576020300274,0.6458787699474446
SumMe,video_2,Ours-Adaptive,0.2658137882018479,0.14844576020300274,0.6458787699474446
SumMe,video_3,Visual-BiLSTM-Strict,0.3487903225806452,0.1493564800957797,0.6477710927898908
SumMe,video_3,CLIP-only,0.5492957746478873,0.14995510326249625,0.6477710927898908
SumMe,video_3,Fixed-Fusion,0.5883554647599591,0.14546542951212213,0.6477710927898908
SumMe,video_3,Ours-Adaptive,0.5883554647599591,0.14546542951212213,0.6477710927898908
SumMe,video_4,Visual-BiLSTM-Strict,0.6430446194225723,0.1462140992167102,0.4656630288257462
SumMe,video_4,CLIP-only,0.46864686468646866,0.14654046997389034,0.4656630288257462
SumMe,video_4,Fixed-Fusion,0.46864686468646866,0.14654046997389034,0.4656630288257462
SumMe,video_4,Ours-Adaptive,0.46864686468646866,0.14654046997389034,0.4656630288257462
SumMe,video_5,Visual-BiLSTM-Strict,0.3250975292587776,0.14928863769245762,0.5955360893992292
SumMe,video_5,CLIP-only,0.32724902216427637,0.14928863769245762,0.5955360893992292
SumMe,video_5,Fixed-Fusion,0.32724902216427637,0.14928863769245762,0.5955360893992292
SumMe,video_5,Ours-Adaptive,0.334453781512605,0.14948353147534593,0.5955360893992292
SumMe,video_6,Visual-BiLSTM-Strict,0.34634974533106966,0.1495566502463054,0.7283649280423863
SumMe,video_6,CLIP-only,0.33108108108108114,0.14995073891625615,0.7283649280423863
SumMe,video_6,Fixed-Fusion,0.2912234042553192,0.14935960591133005,0.7283649280423863
SumMe,video_6,Ours-Adaptive,0.21016949152542375,0.14995073891625615,0.7283649280423863
SumMe,video_7,Visual-BiLSTM-Strict,0.3875541551792044,0.14990050851204953,0.4799631180288747
SumMe,video_7,CLIP-only,0.29249011857707513,0.14890559363254477,0.4799631180288747
SumMe,video_7,Fixed-Fusion,0.3349532710280374,0.14956887021888127,0.4799631180288747
SumMe,video_7,Ours-Adaptive,0.3884721673904461,0.14923723192571303,0.4799631180288747
SumMe,video_8,Visual-BiLSTM-Strict,0.5013477088948788,0.14541213063763608,0.4185552088377311
SumMe,video_8,CLIP-only,0.5013477088948788,0.14541213063763608,0.4185552088377311
SumMe,video_8,Fixed-Fusion,0.5013477088948788,0.14541213063763608,0.4185552088377311
SumMe,video_8,Ours-Adaptive,0.5013477088948788,0.14541213063763608,0.4185552088377311
SumMe,video_9,Visual-BiLSTM-Strict,0.48757555406312963,0.14846107423053712,0.49675089937643707
SumMe,video_9,CLIP-only,0.4912985274431057,0.14946690806678736,0.49675089937643707
