dataset,video_key,setting,fscore
TVSum,video_21,fixed_alpha_0.1,0.49134458920488333
TVSum,video_21,fixed_alpha_0.2,0.4915196532498635
TVSum,video_21,fixed_alpha_0.3,0.5072029319938498
TVSum,video_21,fixed_alpha_0.4,0.5157787375480705
TVSum,video_21,fixed_alpha_0.5,0.5157787375480705
TVSum,video_21,fixed_alpha_0.6,0.5157787375480705
TVSum,video_21,fixed_alpha_0.7,0.5157787375480705
TVSum,video_21,fixed_alpha_0.8,0.5003081727397234
TVSum,video_21,fixed_alpha_0.9,0.47568333174037025
TVSum,video_21,fixed_alpha_1.0,0.47568333174037025
TVSum,video_21,adaptive_strength_0.0,0.47568333174037025
TVSum,video_21,adaptive_strength_0.1,0.47568333174037025
TVSum,video_21,adaptive_strength_0.2,0.47568333174037025
TVSum,video_21,adaptive_strength_0.3,0.47568333174037025
TVSum,video_21,adaptive_strength_0.4,0.47568333174037025
TVSum,video_21,adaptive_strength_0.5,0.5003081727397234
TVSum,video_21,adaptive_strength_0.6,0.5157787375480705
TVSum,video_21,adaptive_strength_0.7,0.5157787375480705
TVSum,video_21,adaptive_strength_0.8,0.5157787375480705
TVSum,video_21,adaptive_strength_0.9,0.5157787375480705
TVSum,video_21,adaptive_strength_1.0,0.5157787375480705
TVSum,video_22,fixed_alpha_0.0,0.5299881470213115
TVSum,video_22,fixed_alpha_0.1,0.5421831191125464
TVSum,video_22,fixed_alpha_0.2,0.542557329979701
