video,query_id,method,true_or,wrong_mean_or,margin_or,discrimination_auc_or,true_and,wrong_mean_and,margin_and,discrimination_auc_and
P01,Hands_Men,CLIP-zero-shot,0.9636363636363636,0.23719008264462804,0.7264462809917356,1.0,0.5272727272727272,0.05,0.47727272727272724,1.0
P01,Hands_Men,Concept-Adapter-MMR,1.0,0.31074380165289256,0.6892561983471075,0.9545454545454546,0.7818181818181819,0.09297520661157024,0.6888429752066116,0.9772727272727273
P01,Hat_Phone,Uniform,0.09090909090909091,0.21198347107438015,-0.12107438016528924,0.3977272727272727,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Hat_Phone,Visual-BiLSTM,0.21818181818181817,0.1884297520661157,0.02975206611570247,0.6818181818181818,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Hat_Phone,CLIP-zero-shot,0.6181818181818182,0.21900826446280988,0.3991735537190083,0.8863636363636364,0.0,0.031818181818181815,-0.031818181818181815,0.36363636363636365
P01,Hat_Phone,Concept-Adapter-MMR,0.9818181818181818,0.18925619834710747,0.7925619834710743,0.9659090909090909,0.0,0.013223140495867768,-0.013223140495867768,0.38636363636363635
P01,Lady_Boat,Uniform,0.05454545454545454,0.21280991735537194,-0.1582644628099174,0.2159090909090909,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Lady_Boat,Visual-BiLSTM,0.05454545454545454,0.19214876033057848,-0.13760330578512395,0.11363636363636363,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Lady_Boat,CLIP-zero-shot,0.10909090909090909,0.19669421487603309,-0.087603305785124,0.45454545454545453,0.0,0.01859504132231405,-0.01859504132231405,0.3522727272727273
P01,Lady_Boat,Concept-Adapter-MMR,0.7454545454545455,0.25495867768595043,0.49049586776859505,0.9090909090909091,0.0,0.043801652892561986,-0.043801652892561986,0.3409090909090909
P01,Market_Beach,Uniform,0.10909090909090909,0.21157024793388432,-0.10247933884297523,0.5113636363636364,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Market_Beach,Visual-BiLSTM,0.12727272727272726,0.19049586776859506,-0.0632231404958678,0.4318181818181818,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Market_Beach,CLIP-zero-shot,0.4,0.22272727272727275,0.17727272727272728,0.8636363636363636,0.0,0.030578512396694214,-0.030578512396694214,0.3522727272727273
P01,Market_Beach,Concept-Adapter-MMR,0.7090909090909091,0.1797520661157025,0.5293388429752066,0.9772727272727273,0.0,0.013223140495867768,-0.013223140495867768,0.42045454545454547
P01,Men_Room,Uniform,0.6181818181818182,0.2,0.41818181818181815,0.9090909090909091,0.10909090909090909,0.03429752066115702,0.07479338842975206,0.8863636363636364
P01,Men_Room,Visual-BiLSTM,0.34545454545454546,0.18553719008264463,0.15991735537190083,0.9090909090909091,0.05454545454545454,0.014462809917355372,0.04008264462809917,0.8863636363636364
P01,Men_Room,CLIP-zero-shot,0.7272727272727273,0.206198347107438,0.5210743801652893,1.0,0.03636363636363636,0.024380165289256198,0.011983471074380164,0.7954545454545454
P01,Men_Room,Concept-Adapter-MMR,0.9818181818181818,0.2545454545454545,0.7272727272727273,0.9659090909090909,0.2909090909090909,0.07066115702479339,0.2202479338842975,0.9204545454545454
P01,Office_Chocolate,Uniform,0.0,0.2140495867768595,-0.2140495867768595,0.011363636363636364,0.0,0.03677685950413223,-0.03677685950413223,0.3522727272727273
P01,Office_Chocolate,Visual-BiLSTM,0.01818181818181818,0.19297520661157028,-0.1747933884297521,0.03409090909090909,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Office_Chocolate,CLIP-zero-shot,0.01818181818181818,0.2045454545454545,-0.18636363636363631,0.18181818181818182,0.0,0.030578512396694214,-0.030578512396694214,0.36363636363636365
P01,Office_Chocolate,Concept-Adapter-MMR,0.14545454545454545,0.1574380165289256,-0.011983471074380164,0.6590909090909091,0.0,0.009504132231404958,-0.009504132231404958,0.4318181818181818
P01,Party_Tree,Uniform,0.14545454545454545,0.21074380165289258,-0.06528925619834713,0.6022727272727273,0.0,0.03677685950413223,-0.03677685950413223,0.3522727272727273
P01,Party_Tree,Visual-BiLSTM,0.10909090909090909,0.1909090909090909,-0.0818181818181818,0.3181818181818182,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Party_Tree,CLIP-zero-shot,0.14545454545454545,0.206198347107438,-0.06074380165289256,0.4772727272727273,0.0,0.02396694214876033,-0.02396694214876033,0.3522727272727273
P01,Party_Tree,Concept-Adapter-MMR,0.9090909090909091,0.27231404958677685,0.6367768595041322,0.9204545454545454,0.0,0.04049586776859504,-0.04049586776859504,0.45454545454545453
P01,Phone_Sun,Uniform,0.09090909090909091,0.21198347107438018,-0.12107438016528926,0.3977272727272727,0.0,0.03677685950413223,-0.03677685950413223,0.3522727272727273
P01,Phone_Sun,Visual-BiLSTM,0.23636363636363636,0.18801652892561982,0.04834710743801654,0.7272727272727273,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Phone_Sun,CLIP-zero-shot,0.6909090909090909,0.19462809917355373,0.4962809917355372,0.8863636363636364,0.0,0.019834710743801654,-0.019834710743801654,0.3409090909090909
P01,Phone_Sun,Concept-Adapter-MMR,0.9818181818181818,0.18140495867768594,0.8004132231404959,0.9659090909090909,0.0,0.009917355371900825,-0.009917355371900825,0.4090909090909091
P01,Room_Garden,Uniform,0.2727272727272727,0.2078512396694215,0.0648760330578512,0.7386363636363636,0.0,0.03677685950413223,-0.03677685950413223,0.3522727272727273
P01,Room_Garden,Visual-BiLSTM,0.18181818181818182,0.1892561983471074,-0.0074380165289255895,0.625,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Room_Garden,CLIP-zero-shot,0.4727272727272727,0.18677685950413225,0.28595041322314046,0.9318181818181818,0.0,0.016115702479338842,-0.016115702479338842,0.36363636363636365
P01,Room_Garden,Concept-Adapter-MMR,0.6909090909090909,0.17107438016528925,0.5198347107438017,0.9772727272727273,0.0,0.009504132231404958,-0.009504132231404958,0.3977272727272727
P01,School_Ocean,Uniform,0.0,0.2140495867768595,-0.2140495867768595,0.011363636363636364,0.0,0.03677685950413223,-0.03677685950413223,0.3522727272727273
P01,School_Ocean,Visual-BiLSTM,0.01818181818181818,0.19297520661157028,-0.1747933884297521,0.03409090909090909,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,School_Ocean,CLIP-zero-shot,0.01818181818181818,0.21198347107438015,-0.19380165289256196,0.056818181818181816,0.0,0.032231404958677684,-0.032231404958677684,0.3409090909090909
P01,School_Ocean,Concept-Adapter-MMR,0.03636363636363636,0.2384297520661157,-0.20206611570247934,0.20454545454545456,0.0,0.04090909090909091,-0.04090909090909091,0.375
P01,Shoes_Bed,Uniform,0.03636363636363636,0.21322314049586774,-0.1768595041322314,0.125,0.0,0.03677685950413223,-0.03677685950413223,0.3522727272727273
P01,Shoes_Bed,Visual-BiLSTM,0.10909090909090909,0.19090909090909092,-0.08181818181818183,0.3181818181818182,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Shoes_Bed,CLIP-zero-shot,0.4727272727272727,0.1644628099173554,0.3082644628099173,0.8977272727272727,0.0,0.01115702479338843,-0.01115702479338843,0.38636363636363635
P01,Shoes_Bed,Concept-Adapter-MMR,0.3090909090909091,0.19876033057851245,0.11033057851239664,0.7613636363636364,0.0,0.011983471074380164,-0.011983471074380164,0.375
P01,Sign_Musicalinstrument,Uniform,0.03636363636363636,0.21322314049586774,-0.1768595041322314,0.125,0.0,0.03677685950413223,-0.03677685950413223,0.3522727272727273
P01,Sign_Musicalinstrument,Visual-BiLSTM,0.05454545454545454,0.1921487603305785,-0.13760330578512397,0.11363636363636363,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Sign_Musicalinstrument,CLIP-zero-shot,0.05454545454545454,0.206198347107438,-0.15165289256198347,0.22727272727272727,0.0,0.021900826446280993,-0.021900826446280993,0.3522727272727273
P01,Sign_Musicalinstrument,Concept-Adapter-MMR,0.21818181818181817,0.21280991735537194,0.00537190082644623,0.5681818181818182,0.0,0.019008264462809916,-0.019008264462809916,0.4090909090909091
P01,Sky_Street,Uniform,0.09090909090909091,0.21198347107438015,-0.12107438016528924,0.3977272727272727,0.07272727272727272,0.03512396694214876,0.03760330578512396,0.8295454545454546
P01,Sky_Street,Visual-BiLSTM,0.10909090909090909,0.19090909090909092,-0.08181818181818183,0.3181818181818182,0.05454545454545454,0.014462809917355372,0.04008264462809917,0.8863636363636364
P01,Sky_Street,CLIP-zero-shot,0.6909090909090909,0.25826446280991733,0.4326446280991736,0.9772727272727273,0.4909090909090909,0.016942148760330577,0.47396694214876034,0.9772727272727273
P01,Sky_Street,Concept-Adapter-MMR,0.9454545454545454,0.27396694214876033,0.671487603305785,0.9772727272727273,0.8181818181818182,0.02066115702479339,0.7975206611570248,0.9772727272727273
P01,Sky_Student,Uniform,0.09090909090909091,0.21198347107438015,-0.12107438016528924,0.3977272727272727,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Sky_Student,Visual-BiLSTM,0.10909090909090909,0.19090909090909092,-0.08181818181818183,0.3181818181818182,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Sky_Student,CLIP-zero-shot,0.3090909090909091,0.21239669421487603,0.09669421487603305,0.7386363636363636,0.0,0.023553719008264463,-0.023553719008264463,0.3522727272727273
P01,Sky_Student,Concept-Adapter-MMR,0.9090909090909091,0.27396694214876033,0.6351239669421487,0.9204545454545454,0.0,0.03884297520661157,-0.03884297520661157,0.45454545454545453
P01,Sky_Tree,Uniform,0.07272727272727272,0.21239669421487603,-0.1396694214876033,0.2840909090909091,0.05454545454545454,0.035537190082644624,0.01900826446280992,0.7840909090909091
P01,Sky_Tree,Visual-BiLSTM,0.10909090909090909,0.19090909090909092,-0.08181818181818183,0.3181818181818182,0.05454545454545454,0.014462809917355372,0.04008264462809917,0.8863636363636364
P01,Sky_Tree,CLIP-zero-shot,0.45454545454545453,0.24380165289256198,0.21074380165289255,0.875,0.36363636363636365,0.017355371900826446,0.3462809917355372,1.0
P01,Sky_Tree,Concept-Adapter-MMR,0.9272727272727272,0.27148760330578514,0.6557851239669421,0.9545454545454546,0.8545454545454545,0.020247933884297523,0.8342975206611569,1.0
P01,Street_Student,Uniform,0.10909090909090909,0.2115702479338843,-0.1024793388429752,0.5113636363636364,0.0,0.036776859504132224,-0.036776859504132224,0.3522727272727273
P01,Street_Student,Visual-BiLSTM,0.12727272727272726,0.19049586776859506,-0.0632231404958678,0.4318181818181818,0.0,0.015702479338842976,-0.015702479338842976,0.375
P01,Street_Student,CLIP-zero-shot,0.2909090909090909,0.24090909090909093,0.04999999999999996,0.625,0.0,0.03595041322314049,-0.03595041322314049,0.36363636363636365
